"Date","Video Views","Profile Views","Likes","Comments","Shares"
"August 10","11828","169","841","87","46"
"August 11","12967","175","1294","182","110"
"August 12","45149","441","5175","536","392"
"August 13","212337","1805","27291","3266","4516"
"August 14","123300","1229","13203","1831","1806"
"August 15","40176","505","4273","589","620"
"August 16","44157","498","4389","557","564"
"August 17","34395","333","3531","419","520"
"August 18","74931","847","3606","527","527"
"August 19","99671","1237","3655","579","435"
"August 20","73786","810","4869","543","629"
"August 21","49713","472","5041","596","500"
"August 22","129517","1036","8040","925","549"
"August 23","68458","597","3716","400","338"
"August 24","41975","425","2586","316","234"
"August 25","33516","393","2520","350","310"
"August 26","60231","495","3818","587","328"
"August 27","48004","411","3135","416","324"
"August 28","36427","403","4206","582","372"
"August 29","39549","439","5435","793","452"
"August 30","27130","292","2878","409","260"
"August 31","25548","242","2484","327","255"
"September 1","26232","260","2321","240","337"
"September 2","31016","301","2422","203","295"
"September 3","37724","336","2530","202","409"
"September 4","36508","292","2203","164","363"
"September 5","20758","241","1278","123","314"
"September 6","20759","211","1293","115","194"
"September 7","17992","210","1136","105","163"
"September 8","13442","168","685","84","85"
"September 9","18134","168","886","118","67"
"September 10","48095","332","3183","296","368"
"September 11","41800","435","2532","163","288"
"September 12","39329","342","2583","272","269"
"September 13","33026","344","2580","405","227"
"September 14","36919","307","3292","390","371"
"September 15","34609","252","3233","394","481"
"September 16","162013","673","8850","556","481"
"September 17","109790","527","5575","219","314"
"September 18","62328","385","3441","169","211"
"September 19","79134","536","4532","285","289"
"September 20","78729","497","4565","224","258"
"September 21","39895","313","2161","88","150"
"September 22","41075","317","2275","145","164"
"September 23","30784","282","1540","155","151"
"September 24","19183","177","1166","118","115"
"September 25","15788","177","1092","212","106"
"September 26","14196","146","1000","124","67"
"September 27","28734","271","4145","760","258"
"September 28","34616","295","4118","592","255"
"September 29","46907","352","4186","325","221"
"September 30","25488","253","2041","185","121"
"October 1","38647","841","2743","328","250"
"October 2","89250","2740","5848","437","627"
"October 3","50008","1251","3000","316","281"
"October 4","28332","655","1669","188","156"
"October 5","33531","624","2051","215","158"
"October 6","25600","491","1432","137","133"
"October 7","27316","372","1782","264","164"
"October 8","230684","1784","21119","1435","2317"
"October 9","176866","1455","17524","923","1198"
"October 10","41315","506","3576","438","253"
"October 11","54547","659","4802","569","630"
"October 12","51026","626","4837","520","536"
"October 13","37346","513","3392","342","410"
"October 14","25128","437","1895","227","183"
"October 15","52672","517","2902","420","195"
"October 16","26410","367","1670","219","152"
"October 17","29738","476","2305","379","233"
"October 18","22178","300","1776","185","171"
"October 19","18676","266","1416","187","153"
"October 20","44433","478","3549","367","269"
"October 21","30380","385","2200","302","130"
"October 22","29680","377","2232","327","199"
"October 23","24492","365","1751","302","97"
"October 24","21110","304","1474","263","151"
"October 25","26415","370","2728","366","214"
"October 26","20081","329","1753","218","112"
"October 27","17860","314","1437","150","105"
"October 28","18249","307","1348","154","123"
"October 29","18410","340","1667","193","137"
"October 30","11917","253","726","129","50"
"October 31","21042","321","1442","175","93"
"November 1","19550","271","1248","136","85"
"November 2","16660","210","1025","90","55"
"November 3","17605","226","1176","125","83"
"November 4","27995","363","1856","179","89"
"November 5","14174","242","908","87","42"
"November 6","19997","688","1410","189","93"
"November 7","23864","409","1630","160","79"
"November 8","120756","1147","17819","2305","1362"
"November 9","55263","540","7800","943","529"
"November 10","25077","379","2011","325","79"
"November 11","22046","294","1346","129","78"
"November 12","31470","718","2785","311","80"
"November 13","23469","378","2132","306","81"
"November 14","21791","366","1807","220","67"
"November 15","148928","951","15560","1254","970"
"November 16","81471","737","8709","878","516"
"November 17","112371","1323","10116","1343","983"
"November 18","204161","2662","19468","1966","2550"
"November 19","95885","1031","9508","1061","1296"
"November 20","47006","664","4216","527","549"
"November 21","27554","277","1525","189","162"
"November 22","23766","264","1524","230","106"
"November 23","22621","242","1281","160","76"
"November 24","21693","496","1179","149","84"
"November 25","19163","400","1155","114","108"
"November 26","10947","190","638","64","65"
"November 27","9105","206","506","69","33"
"November 28","20019","371","1733","264","68"
"November 29","15161","241","1156","132","54"
"November 30","14462","219","962","166","37"
"December 1","13270","209","868","141","76"
"December 2","13010","177","767","103","71"
"December 3","18104","265","1769","254","110"
"December 4","14928","204","1794","313","146"
"December 5","13153","205","1311","180","128"
"December 6","12050","193","1564","234","207"
"December 7","9581","347","830","111","88"
"December 8","12745","760","1042","145","84"
"December 9","34689","783","2687","286","173"
"December 10","34259","511","2421","282","148"
"December 11","29631","467","2119","146","81"
"December 12","22204","348","1808","119","110"
"December 13","15836","285","1253","68","92"
"December 14","15552","302","1216","131","88"
"December 15","16215","302","1297","106","75"
"December 16","41333","489","3049","223","190"
"December 17","43055","375","2121","241","152"
"December 18","30462","322","1957","301","126"
"December 19","18790","208","1221","157","79"
"December 20","8855","160","610","68","19"
"December 21","9188","165","760","112","40"
"December 22","8165","145","706","84","71"
"December 23","6672","137","450","43","27"
"December 24","5423","130","425","48","21"
"December 25","6113","160","395","68","30"
"December 26","14712","344","1435","182","78"
"December 27","38636","584","3781","959","274"
"December 28","36900","396","3181","302","390"
"December 29","42197","398","3304","362","302"
"December 30","31301","349","2324","310","187"
"December 31","11671","215","839","135","97"
"January 1","7744","152","496","69","37"
"January 2","11388","201","884","112","89"
"January 3","14632","204","1231","331","156"
"January 4","12066","164","1045","169","59"
"January 5","35700","697","3128","444","236"
"January 6","37659","530","2837","368","211"
"January 7","19247","309","1593","215","99"
"January 8","12253","208","1065","160","75"
"January 9","9898","275","661","93","37"
"January 10","8972","266","664","72","47"
"January 11","28832","849","1357","419","44"
"January 12","7402","213","407","51","41"
"January 13","8106","229","504","27","68"
"January 14","7444","280","399","54","21"
"January 15","10424","270","615","55","36"
"January 16","26936","516","3152","178","405"
"January 17","42698","946","5356","297","659"
"January 18","61392","1727","7192","212","927"
"January 19","69489","1360","8764","228","871"
"January 20","54334","969","6419","830","427"
"January 21","51161","808","6744","988","432"
"January 22","138946","1432","20144","3282","4514"
"January 23","205467","1989","33286","5289","8175"
"January 24","368683","3531","63843","8490","13934"
"January 25","196882","2336","34998","3916","5845"
"January 26","57811","1270","7586","813","1204"
"January 27","75085","1189","7769","942","930"
"January 28","94999","1202","9110","557","871"
"January 29","44846","647","4319","639","422"
"January 30","186031","1442","25247","1235","4032"
"January 31","43648","460","3549","409","423"
"February 1","36966","411","2694","310","209"
"February 2","52231","568","4679","783","382"
"February 3","48405","560","4050","452","288"
"February 4","24782","430","2627","332","161"
"February 5","35265","623","4611","1018","219"
"February 6","17309","387","2168","397","185"
"February 7","15099","348","1708","305","146"
"February 8","32083","504","4349","666","330"
"February 9","28693","494","3780","549","265"
"February 10","26239","523","3309","440","264"
"February 11","35761","538","4454","827","453"
"February 12","63058","722","7800","1333","1293"
"February 13","62971","665","7174","518","1232"
"February 14","50660","674","5544","736","573"
"February 15","29054","540","3590","625","533"
"February 16","34054","697","4457","813","497"
"February 17","67857","756","12125","1435","1539"
"February 18","58488","635","9390","1018","1354"
"February 19","32345","452","3760","537","407"
"February 20","25950","342","2597","350","344"
"February 21","36993","361","4287","773","792"
"February 22","39632","685","4368","683","618"
"February 23","49094","609","6157","837","863"
"February 24","565946","2974","50030","5134","4746"
"February 25","396096","2510","35477","3875","3301"
"February 26","198757","1805","20350","2650","2032"
"February 27","79798","834","7267","978","811"
"February 28","78659","1189","7668","686","954"
"March 1","40893","809","3621","499","305"
"March 2","31571","517","2507","258","236"
"March 3","32185","534","2888","302","156"
"March 4","47584","882","4715","553","280"
"March 5","36832","662","3747","517","230"
"March 6","22778","487","2269","281","177"
"March 7","14707","301","1612","187","103"
"March 8","53556","606","3325","487","264"
"March 9","37029","587","4436","291","624"
"March 10","30348","583","2783","392","375"
"March 11","68366","807","3800","435","310"
"March 12","49503","651","4188","444","237"
"March 13","38561","487","2900","317","172"
"March 14","20589","450","1693","251","111"
"March 15","17554","344","2209","147","157"
"March 16","42347","599","5048","406","233"
"March 17","21937","373","2438","177","124"
"March 18","19847","399","2172","284","93"
"March 19","13213","273","1388","79","86"
"March 20","36926","542","3537","457","159"
"March 21","37501","475","2625","319","155"
"March 22","28563","357","2310","315","123"
"March 23","22831","364","2133","163","181"
"March 24","38741","519","3681","555","236"
"March 25","27619","491","3628","518","196"
"March 26","17855","345","2232","253","87"
"March 27","25677","424","2887","366","130"
"March 28","15213","430","1484","220","69"
"March 29","7892","172","629","82","28"
"March 30","6768","133","527","38","29"
"March 31","6399","183","463","54","28"
"April 1","615320","2926","119869","27265","23094"
"April 2","127656","862","21492","4531","3528"
"April 3","37445","637","4846","849","404"
"April 4","22668","489","2389","379","159"
"April 5","18542","320","2225","304","119"
"April 6","18596","328","2217","275","77"
"April 7","33654","463","2510","272","118"
"April 8","44076","480","2718","293","188"
"April 9","43985","530","2060","191","120"
"April 10","34771","358","1313","124","60"
"April 11","24282","338","1055","74","40"
"April 12","23452","248","949","182","56"
"April 13","17614","173","673","101","22"
"April 14","14047","209","625","113","21"
"April 15","13860","257","1156","134","80"
"April 16","24279","257","1268","197","58"
"April 17","14048","247","891","126","38"
"April 18","11023","379","686","131","19"
"April 19","7579","136","567","31","17"
"April 20","12247","267","1250","98","82"
"April 21","58351","985","4928","675","320"
"April 22","73950","1087","6647","1090","446"
"April 23","44374","619","4379","646","270"
"April 24","17636","299","1803","197","110"
"April 25","16049","269","1954","168","147"
"April 26","14848","253","2075","286","149"
"April 27","15307","348","1774","247","127"
"April 28","37899","546","3505","461","291"
"April 29","317910","2452","14411","2124","2008"
"April 30","163111","1349","6839","857","796"
"May 1","40875","473","2117","251","162"
"May 2","16448","284","999","77","76"
"May 3","15829","246","1270","140","47"
"May 4","9446","212","688","93","32"
"May 5","11770","245","857","58","23"
"May 6","9666","203","683","44","25"
"May 7","7692","146","582","33","19"
"May 8","15057","284","1230","146","39"
"May 9","14159","212","1706","232","94"
"May 10","8639","131","933","134","44"
"May 11","7736","142","647","88","40"
"May 12","20394","273","2651","529","645"
"May 13","54286","350","7527","1183","2480"
"May 14","16539","217","1818","105","430"
"May 15","14141","279","1957","111","89"
"May 16","11621","325","1880","320","129"
"May 17","9291","165","1097","184","73"
"May 18","10496","170","1131","206","97"
"May 19","9182","164","1001","158","137"
"May 20","7466","148","795","149","66"
"May 21","16588","252","1745","188","184"
"May 22","17026","305","1948","257","149"
"May 23","27822","491","3448","524","188"
"May 24","12741","225","1439","156","77"
"May 25","9974","166","1023","122","65"
"May 26","13640","257","1539","156","144"
"May 27","15106","301","1804","349","100"
"May 28","11284","227","1368","282","85"
"May 29","11940","239","1630","212","67"
"May 30","44379","577","5873","497","957"
"May 31","36298","562","4687","315","486"
"June 1","20239","360","2202","136","139"
"June 2","22878","353","2676","214","142"
"June 3","17443","290","1997","133","84"
"June 4","9022","190","835","66","52"
"June 5","22837","367","2491","61","83"
"June 6","16592","273","2014","34","118"
"June 7","15451","255","2205","57","239"
"June 8","15060","302","1678","30","122"
"June 9","14485","249","1740","19","146"
"June 10","22538","257","1865","-73","196"
"June 11","12469","206","1136","8","99"
"June 12","16140","251","1559","-37","90"
"June 13","13658","258","1249","-54","76"
"June 14","8493","175","773","-1","37"
"June 15","4972","93","327","6","16"
"June 16","5735","116","492","-11","17"
"June 17","18408","390","1977","-14","61"
"June 18","10778","232","1134","-19","48"
"June 19","16437","267","2211","11","129"
"June 20","9983","228","1070","25","63"
"June 21","10008","197","847","-105","41"
"June 22","8323","185","682","3","23"
"June 23","13225","307","1778","-6","83"
"June 24","25775","265","1773","-5","71"
"June 25","9552","166","725","-9","58"
"June 26","10483","197","966","31","38"
"June 27","5553","126","525","-503","28"
"June 28","5113","163","380","-22","27"
"June 29","4391","109","311","-2","21"
"June 30","6141","147","346","-38","18"
"July 1","11269","248","645","-5","18"
"July 2","8220","170","422","-85","33"
"July 3","11191","227","803","2","45"
"July 4","28825","512","3184","-250","169"
"July 5","18860","267","1893","27","74"
"July 6","11370","211","696","4","38"
"July 7","20514","536","1953","-62","110"
"July 8","35545","827","4603","34","418"
"July 9","20289","448","2732","-258","180"
"July 10","11812","267","1522","-64","89"
"July 11","7048","234","556","-50","34"
"July 12","26983","706","3667","105","168"
"July 13","11649","320","1229","-14","67"
"July 14","15381","271","1632","-118","65"
"July 15","145907","733","18268","434","3638"
"July 16","38850","366","7375","123","1559"
"July 17","12853","176","1447","31","157"
"July 18","6800","122","619","40","53"
"July 19","6548","155","567","-16","18"
"July 20","4467","102","319","-14","26"
"July 21","57241","699","5467","162","251"
"July 22","33823","506","4226","64","283"
"July 23","30034","456","3367","95","224"
"July 24","12236","290","1216","-11","90"
"July 25","12259","265","1334","-16","45"
"July 26","13924","291","1630","-11","39"
"July 27","16920","282","1907","10","81"
"July 28","10022","193","1083","-31","58"
"July 29","140339","1037","4401","-52","98"
"July 30","20477","289","1392","1","21"
"July 31","21441","315","1998","-12","154"
"August 1","39675","512","4653","-3","557"
"August 2","17851","281","2031","41","122"
"August 3","11423","171","858","-56","32"
"August 4","15190","238","862","24","46"
"August 5","14142","203","1375","-300","37"
"August 6","8971","181","655","-14","27"
"August 7","13827","223","1460","-14","71"
"August 8","7374","152","511","23","23"
"August 9","28147","377","2479","50","263"